,Age,Gender,Technology_Usage_Hours,Social_Media_Usage_Hours,Gaming_Hours,Screen_Time_Hours,Mental_Health_Status,Stress_Level,Sleep_Hours,Physical_Activity_Hours,Support_Systems_Access,Work_Environment_Impact,Online_Support_Usage
0,23,Female,6.57,6.0,0.68,12.36,Good,Low,8.01,6.71,No,Negative,Yes
1,21,Male,3.01,2.57,3.74,7.61,Poor,High,7.28,5.88,Yes,Positive,No
2,51,Male,3.04,6.14,1.26,3.16,Fair,High,8.04,9.81,No,Negative,No
3,25,Female,3.84,4.48,2.59,13.08,Excellent,Medium,5.62,5.28,Yes,Negative,Yes
4,53,Male,1.2,0.56,0.29,12.63,Good,Low,5.55,4.0,No,Positive,Yes
5,58,Male,5.59,5.74,0.11,1.34,Poor,Low,8.61,6.54,Yes,Neutral,Yes
6,63,Female,3.38,2.55,3.79,9.78,Excellent,Medium,8.61,1.34,Yes,Neutral,No
7,51,Female,7.18,4.1,4.74,8.14,Excellent,Medium,7.11,5.27,Yes,Neutral,No
8,57,Other,10.86,4.11,0.08,6.02,Fair,Medium,7.19,5.22,No,Positive,No
9,31,Other,4.3,7.23,0.81,6.87,Excellent,High,5.09,0.47,No,Positive,No
10,53,Other,4.78,3.94,1.88,14.87,Poor,High,5.13,3.01,Yes,Neutral,No
11,64,Other,4.83,4.85,1.68,13.68,Fair,Low,8.57,6.35,No,Neutral,Yes
12,40,Female,3.06,4.06,2.54,10.65,Poor,High,7.9,0.49,Yes,Negative,Yes
13,24,Other,5.82,5.22,3.3,1.65,Excellent,High,4.82,7.15,No,Positive,No
14,38,Female,10.48,4.53,0.94,10.27,Poor,High,7.13,7.14,Yes,Negative,No
15,53,Male,7.51,0.21,4.17,5.08,Good,Medium,8.53,5.05,Yes,Negative,No
16,26,Female,6.4,5.4,4.76,11.4,Fair,High,4.62,9.65,Yes,Neutral,Yes
17,55,Female,2.03,6.56,2.01,14.88,Fair,Low,8.95,8.96,Yes,Negative,No
18,55,Male,2.94,0.61,2.13,11.49,Excellent,High,7.71,7.51,Yes,Neutral,No
19,37,Other,10.74,3.85,1.29,6.0,Good,Medium,5.69,7.77,Yes,Positive,No
20,57,Female,7.69,7.33,3.16,9.55,Fair,Low,7.07,5.65,Yes,Neutral,No
21,34,Male,8.44,1.14,2.28,1.51,Fair,High,4.76,0.06,No,Negative,Yes
22,38,Female,1.27,1.22,2.92,2.83,Poor,Low,4.01,6.48,No,Neutral,Yes
23,39,Male,2.06,5.99,3.96,9.8,Excellent,Low,5.83,7.59,Yes,Negative,Yes
24,42,Other,6.23,3.88,1.52,14.16,Poor,Medium,5.73,8.7,No,Positive,Yes
25,27,Other,7.39,4.15,0.19,3.03,Poor,Medium,4.85,0.34,Yes,Positive,Yes
26,23,Male,2.2,0.06,2.49,12.79,Poor,Medium,5.33,6.55,No,Positive,Yes
27,50,Female,1.16,0.51,3.2,14.72,Good,High,8.37,4.97,No,Neutral,Yes
28,60,Other,5.92,7.43,2.17,5.36,Excellent,Low,5.36,9.87,No,Negative,No
29,20,Female,3.65,7.48,0.32,1.63,Excellent,Medium,8.01,9.28,Yes,Neutral,No
30,40,Female,5.98,4.07,2.18,8.48,Fair,Low,8.27,9.78,Yes,Positive,No
31,29,Female,11.8,6.11,2.86,8.05,Fair,Medium,6.24,9.74,No,Positive,Yes
32,55,Female,11.51,1.42,2.47,5.32,Poor,High,4.4,3.69,No,Negative,No
33,30,Male,1.33,3.53,3.53,2.41,Good,Low,5.02,7.84,No,Negative,Yes
34,47,Male,9.91,4.52,0.61,1.69,Fair,Low,7.1,7.99,Yes,Neutral,No
35,37,Male,5.66,7.42,1.75,13.89,Poor,Low,5.77,8.17,Yes,Negative,No
36,41,Other,11.76,6.25,0.9,11.1,Poor,Low,7.98,0.74,Yes,Positive,No
37,44,Female,6.65,4.66,1.1,12.79,Good,Low,4.47,4.69,No,Positive,Yes
38,23,Male,10.87,2.98,4.69,5.37,Excellent,Low,4.7,2.25,Yes,Positive,Yes
39,21,Other,10.43,2.2,2.64,14.2,Good,High,6.98,5.61,Yes,Neutral,No
40,48,Male,7.05,1.62,3.62,1.22,Fair,Low,6.7,5.26,Yes,Neutral,Yes
41,57,Male,1.04,1.95,2.46,13.84,Excellent,Medium,7.59,8.4,No,Negative,Yes
42,47,Other,10.6,6.15,2.95,14.35,Excellent,High,5.0,4.1,No,Neutral,Yes
43,50,Male,4.45,4.5,0.81,14.03,Good,Low,5.73,3.62,Yes,Negative,Yes
44,24,Other,7.0,4.06,0.73,8.14,Poor,High,8.47,2.28,Yes,Neutral,No
45,23,Female,2.06,5.93,1.97,8.76,Excellent,High,4.46,0.9,Yes,Neutral,No
46,30,Female,3.34,4.26,2.33,2.75,Good,Medium,4.38,1.48,Yes,Positive,No
47,30,Other,6.01,1.5,4.85,1.78,Excellent,Medium,6.58,3.3,No,Negative,No
48,45,Male,2.95,3.16,1.96,6.9,Poor,Medium,8.02,2.07,No,Negative,No
49,38,Female,3.06,0.82,2.76,1.2,Excellent,Low,4.41,8.6,No,Neutral,Yes
50,37,Female,4.53,5.02,1.97,5.84,Excellent,High,4.35,4.22,Yes,Neutral,Yes
51,57,Other,2.95,1.48,3.91,7.22,Fair,High,8.96,0.33,No,Negative,Yes
52,23,Male,7.29,7.47,1.64,14.31,Excellent,Medium,5.53,9.31,No,Neutral,Yes
